run_key,scene_id,intersection_id,algorithm,flow_multiplier,seed,matrix_kind,disturbance_kind,disturbance_begin_seconds,disturbance_end_seconds,disturbance_target,disturbance_intensity,duration_seconds,warmup_seconds,steps,steps_origin,algorithm_params,run_id,status,reason,run_dir,avg_delay,avg_delay_seconds,avg_queue_length,avg_queue_length_vehicles,avg_travel_time,avg_travel_time_seconds,co2_g,co2_g_per_completed,collision_count,completed_vehicle_count,fuel_consumption,fuel_ml,fuel_ml_per_completed,harsh_braking_count,illegal_transition_count,max_queue_length,max_queue_length_vehicles,potential_conflict_count,red_light_count,teleport_count,throughput,total_stops,unfinished_vehicle_count
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,fixed_time,1.0,44,normal,,,,,,3600.0,600.0,,none,{},b84557d59971,completed,,F:\challenge-cup\output\runs\formal\runs\i2\fixed_time\x1\s44\b84557d59971,21.090701330108825,21.090701330108825,1.05,1.05,33.38452237001209,33.38452237001209,69123.9087,83.58392829504233,0,827,30200.9,30200.9,36.518621523579206,368,0,5.0,5.0,53,0,0,827,652,10
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":42,""warmup_seconds"":600.0}",2,2,fixed_time,1.25,42,normal,,,,,,3600.0,600.0,,none,{},0c37845e0dd1,completed,,F:\challenge-cup\output\runs\formal\runs\i2\fixed_time\x1.25\s42\0c37845e0dd1,36.11054166666667,36.11054166666667,1.9,1.9,48.365625,48.365625,100093.22545999999,104.26377652083332,0,960,43731.91,43731.91,45.55407291666667,351,0,9.0,9.0,57,0,0,960,1116,16
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":43,""warmup_seconds"":600.0}",2,2,fixed_time,1.25,43,normal,,,,,,3600.0,600.0,,none,{},ce93bcb84bf3,completed,,F:\challenge-cup\output\runs\formal\runs\i2\fixed_time\x1.25\s43\ce93bcb84bf3,35.67537190082645,35.67537190082645,2.0,2.0,47.914256198347104,47.914256198347104,100127.24152,103.43723297520661,0,968,43746.63,43746.63,45.19279958677686,313,0,9.0,9.0,50,0,0,968,1069,16
"{""algorithm"":""fixed_time"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,fixed_time,1.25,44,normal,,,,,,3600.0,600.0,,none,{},69b646592d03,completed,,F:\challenge-cup\output\runs\formal\runs\i2\fixed_time\x1.25\s44\69b646592d03,35.31173553719008,35.31173553719008,2.05,2.05,47.58367768595041,47.58367768595041,99210.14744,102.48982173553719,0,968,43345.97,43345.97,44.778894628099174,296,0,9.0,9.0,48,0,0,968,1026,16
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":42,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.0,42,normal,,,,,,3600.0,600.0,,none,{},0340e1b935f7,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1\s42\0340e1b935f7,10.267894103489771,10.267894103489771,0.3,0.3,22.531889290012035,22.531889290012035,54224.25375,65.251809566787,0,831,23691.09,23691.09,28.50913357400722,421,0,1.0,1.0,95,0,0,831,499,6
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":43,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.0,43,normal,,,,,,3600.0,600.0,,none,{},699094fb64c8,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1\s43\699094fb64c8,9.395294825511431,9.395294825511431,0.3,0.3,21.61973525872443,21.61973525872443,52920.02482,63.68234033694344,0,831,23121.06,23121.06,27.82317689530686,437,0,1.0,1.0,88,0,0,831,440,6
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.0,44,normal,,,,,,3600.0,600.0,,none,{},04407a026e0c,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1\s44\04407a026e0c,9.47921875,9.47921875,0.3,0.3,21.74639423076923,21.74639423076923,53047.062920000004,63.75848908653847,0,832,23176.69,23176.69,27.856598557692305,420,0,2.0,2.0,82,0,0,832,446,5
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":42,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.25,42,normal,,,,,,3600.0,600.0,,none,{},f656457cbf9d,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1.25\s42\f656457cbf9d,25.91164717348928,25.91164717348928,1.35,1.35,38.16569200779727,38.16569200779727,91760.17770999999,89.43487106237815,0,1026,40090.82,40090.82,39.07487329434698,402,0,7.0,7.0,67,0,0,1026,1509,14
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":43,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.25,43,normal,,,,,,3600.0,600.0,,none,{},3be67bd7c9ec,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1.25\s43\3be67bd7c9ec,27.077172413793104,27.077172413793104,1.5,1.5,39.31133004926108,39.31133004926108,92500.54825,91.13354507389164,0,1015,40414.43,40414.43,39.8171724137931,364,0,8.0,8.0,50,0,0,1015,1560,14
"{""algorithm"":""classic_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.25,""scene_id"":""2"",""seed"":44,""warmup_seconds"":600.0}",2,2,classic_maxpressure,1.25,44,normal,,,,,,3600.0,600.0,,none,{},9a77368fe860,completed,,F:\challenge-cup\output\runs\formal\runs\i2\classic_maxpressure\x1.25\s44\9a77368fe860,24.806822157434404,24.806822157434404,1.3,1.3,37.096209912536445,37.096209912536445,90104.54591,87.56515637512148,0,1029,39367.47,39367.47,38.25798833819242,393,0,6.0,6.0,59,0,0,1029,1405,12
"{""algorithm"":""capacity_aware_maxpressure"",""algorithm_params"":{},""disturbance"":null,""duration_seconds"":3600.0,""flow_multiplier"":1.0,""scene_id"":""2"",""seed"":42,""warmup_seconds"":600.0}",2,2,capacity_aware_maxpressure,1.0,42,normal,,,,,,3600.0,600.0,,none,{},8d3912e0b0c6,completed,,F:\challenge-cup\output\runs\formal\runs\i2\capacity_aware_maxpressure\x1\s42\8d3912e0b0c6,10.267894103489771,10.267894103489771,0.3,0.3,22.531889290012035,22.531889290012035,54224.25375,65.251809566787,0,831,23691.09,23691.09,28.50913357400722,421,0,1.0,1.0,95,0,0,831,499,6
